K,Accuracy
1,0.6333333333333333
2,0.6
3,0.6666666666666666
4,0.6333333333333333
5,0.7
6,0.7333333333333333
7,0.7
8,0.7
9,0.7
10,0.6666666666666666
11,0.6666666666666666
12,0.6666666666666666
13,0.7333333333333333
14,0.6666666666666666
15,0.6333333333333333
16,0.6
17,0.6333333333333333
18,0.6333333333333333
19,0.6
20,0.6333333333333333
21,0.5666666666666667
22,0.6
23,0.6
24,0.6333333333333333
25,0.6333333333333333
26,0.6333333333333333
27,0.6333333333333333
28,0.6333333333333333
29,0.6333333333333333
30,0.6
31,0.6
32,0.6333333333333333
33,0.6666666666666666
34,0.6
35,0.6333333333333333
36,0.6
37,0.6333333333333333
38,0.5333333333333333
39,0.5666666666666667
40,0.5666666666666667
41,0.5666666666666667
42,0.5333333333333333
43,0.5666666666666667
44,0.5666666666666667
45,0.5666666666666667
46,0.5333333333333333
47,0.5666666666666667
48,0.5333333333333333
49,0.5333333333333333
50,0.5333333333333333
51,0.5333333333333333
52,0.5333333333333333
53,0.5333333333333333
54,0.5333333333333333
55,0.5333333333333333
56,0.5333333333333333
57,0.5333333333333333
58,0.5333333333333333
59,0.5333333333333333
60,0.5666666666666667
61,0.5666666666666667
62,0.5666666666666667
63,0.5666666666666667
64,0.5666666666666667
65,0.6333333333333333
66,0.6333333333333333
67,0.6333333333333333
68,0.6
69,0.6333333333333333
70,0.6333333333333333
71,0.6333333333333333
72,0.6333333333333333
73,0.6333333333333333
74,0.6333333333333333
75,0.6333333333333333
76,0.6333333333333333
77,0.6333333333333333
78,0.6333333333333333
79,0.5
80,0.5
81,0.5
82,0.5333333333333333
83,0.5333333333333333
84,0.5333333333333333
85,0.5333333333333333
86,0.5333333333333333
87,0.5
88,0.5
89,0.5
90,0.5
91,0.5
92,0.5
93,0.5
94,0.5
95,0.5
96,0.5
97,0.5
98,0.43333333333333335
99,0.4
100,0.4
